port,content_dir,strategy,total_req,manifest_req,segment_req,other_req
8002,content/server2,latency-load,399,14,0,385
8002,content/server2,latency-load,477,15,0,462
8002,content/server2,latency-load,477,15,0,462
8002,content/server2,latency-load,399,14,0,385
8002,content/server2,latency-load,633,17,0,616
8002,content/server2,latency-load,477,15,0,462
8002,content/server2,latency-load,399,14,0,385
8002,content/server2,latency-load,399,14,0,385
8002,content/server2,latency-load,399,14,0,385
8002,content/server2,latency-load,399,14,0,385
8002,content/server2,latency-load,87,10,0,77
8002,content/server2,latency-load,243,12,0,231
8002,content/server2,latency-load,399,14,0,385
8002,content/server2,latency-load,243,12,0,231
8002,content/server2,latency-load,399,14,0,385
